family,speaker,age,perplexity,entropy
Alex,Mother,16.9,2273.791792610095,3.1098781830136715
Alex,Mother,17.4,35.03714147316118,2.9026269814622947
Alex,Mother,17.866666666666667,1897.4516215490416,3.058006752897364
Alex,Mother,18.466666666666665,1122.9483356099995,2.871242468841387
Alex,Mother,19.233333333333334,24.558905445080597,2.7417547862782277
Alex,Mother,19.866666666666667,867.1261240343531,2.9607451706325225
Alex,Mother,20.366666666666667,947.5107011508699,3.183680097966674
Alex,Mother,20.833333333333332,3018.1744247241004,3.147195495054987
Alex,Mother,21.266666666666666,4462.3705653132265,3.2003594973149947
Alex,Mother,21.733333333333334,5376.6402918039485,3.1912892597306777
Alex,Mother,22.2,6264.74160799895,3.37349945752765
Alex,Mother,22.8,7844.349895703766,3.4276111263449693
Alex,Mother,23.1,2542.5141484674605,3.0241810748866573
Alex,Mother,23.566666666666666,2949.446312033132,3.1634281809406293
Alex,Mother,23.9,5900.314490728882,3.149614895008451
Alex,Mother,24.4,1814.9718286182713,2.937820759058884
Alex,Mother,25.066666666666666,593.5210170288854,2.7745529444688533
Alex,Mother,25.566666666666666,23.257521442976547,2.676205814071314
Alex,Mother,26.0,195.7016251124673,2.7094734823240487
Alex,Mother,26.566666666666666,34.62748250451683,2.893095566117904
Alex,Mother,27.0,336.9892966428672,2.8420895039875744
Alex,Mother,27.466666666666665,510.68243574981113,2.8236760225907207
Alex,Mother,27.866666666666667,1285.4171563268064,2.925633328997164
Alex,Mother,28.366666666666667,561.7949289673875,2.9273457726245806
Alex,Mother,28.833333333333332,37.800483732233744,2.6923509020111753
Alex,Mother,29.3,1121.8279306720776,2.8006066785047716
Alex,Mother,29.766666666666666,1430.5406052952244,2.911005306778527
Alex,Mother,30.2,3232.050715457077,2.96717030142138
Alex,Mother,30.666666666666668,531.0682757531913,2.8643504795707413
Alex,Mother,31.166666666666668,745.5641032888803,2.7803747208513143
Alex,Mother,31.8,2672.494068914323,3.0732643188418374
Alex,Mother,32.333333333333336,1902.046090271194,2.8695635604761995
Alex,Mother,32.53333333333333,2109.811482055924,2.8070494866441225
Alex,Mother,32.93333333333333,1735.3087418553887,2.9390673224018546
Alex,Mother,33.43333333333333,1018.4621803740682,2.816141364407174
